Date,Flooding_Phase,Pond,Size
12/02/2024,DF,LSP,8
13/03/2024,DF,LSP,9.8
07/04/2024,BF,LSP,7
23/08/2024,DF,LSP,12
23/08/2024,DF,LSP,11.5
23/09/2024,DF,LSP,11.5
23/09/2024,DF,LSP,12.5
23/09/2024,DF,LSP,10.5
