Date,Flooding_Phase,Pond,Size
17/02/2024,REC,SSP,4.9
17/02/2024,REC,SSP,4.9
13/03/2024,DF,LSP,3.9
09/05/2024,DF,SSP,1.8
10/05/2024,AF,SSP,1.9
10/05/2024,AF,SSP,1.7
10/05/2024,AF,SSP,2.1
12/05/2024,REC,LSP,2
12/05/2024,REC,SSP,1.9
25/07/2024,AF,LSP,3
